Mod:Item:MetaData, Localized Name
hbm:tile.concrete_colored_ext:1, Builder's Choice Concrete - Industrial Stripe
hbm:tile.concrete_colored_ext:2, Builder's Choice Concrete - Deep Indigo
hbm:tile.concrete_colored_ext:3, Builder's Choice Concrete - Mysterious Purple
hbm:tile.concrete_colored_ext:4, Builder's Choice Concrete - Manly Pink
hbm:tile.concrete_colored_ext:5, Builder's Choice Concrete - Hazard Stripe
hbm:tile.concrete, Concrete Tile
hbm:tile.concrete_asbestos, Asbestos Concrete
hbm:tile.concrete_super, Über Concrete
hbm:tile.concrete_super_broken, Moldy Debris
hbm:tile.ducrete_smooth, Ducrete
hbm:tile.ducrete, Ducrete Tile
hbm:tile.concrete_pillar, Rebar Reinforced Concrete Pillar
hbm:tile.brick_concrete, Concrete Bricks
hbm:tile.brick_concrete_mossy, Mossy Concrete Bricks
hbm:tile.brick_concrete_cracked, Cracked Concrete Bricks
hbm:tile.brick_concrete_broken, Broken Concrete Bricks
hbm:tile.brick_concrete_marked, Marked Concrete Bricks
hbm:tile.brick_ducrete, Ducrete Bricks
hbm:tile.brick_obsidian, Obsidian Bricks
hbm:tile.brick_compound, Compound Mesh
hbm:tile.brick_light, Light Bricks
hbm:tile.brick_asbestos, Asbestos Bricks
hbm:tile.brick_fire, Firebricks
hbm:tile.concrete_slab:0, Concrete Slab
hbm:tile.concrete_slab:1, Concrete Tile Slab
hbm:tile.concrete_slab:2, Asbestos Concrete Slab
hbm:tile.concrete_slab:3, Ducrete Slab
hbm:tile.concrete_slab:4, Ducrete Tile Slab
hbm:tile.concrete_brick_slab:0, Concrete Brick Slab
hbm:tile.concrete_brick_slab:1, Mossy Concrete Brick Slab
hbm:tile.concrete_brick_slab:2, Cracked Concrete Brick Slab
hbm:tile.concrete_brick_slab:3, Broken Concrete Brick Slab
hbm:tile.concrete_brick_slab:4, Ducrete Brick Slab
hbm:tile.brick_slab:0, Dense Stone Slab
hbm:tile.brick_slab:1, Reinforced Stone Slab
hbm:tile.brick_slab:2, Obsidian Brick Slab
hbm:tile.brick_slab:3, Light Brick Slab
hbm:tile.brick_slab:4, Compound Mesh Slab
hbm:tile.brick_slab:5, Asbestos Brick Slab
hbm:tile.brick_slab:6, Firebrick Slab
hbm:tile.concrete_smooth_stairs, Concrete Stairs
hbm:tile.concrete_stairs, Concrete Tile Stairs
hbm:tile.concrete_asbestos_stairs, Asbestos Concrete Stairs
hbm:tile.ducrete_smooth_stairs, Ducrete Stairs
hbm:tile.brick_concrete_stairs, Concrete Brick Stairs
hbm:tile.brick_concrete_mossy_stairs, Mossy Concrete Brick Stairs
hbm:tile.brick_concrete_cracked_stairs, Cracked Concrete Brick Stairs
hbm:tile.brick_concrete_broken_stairs, Broken Concrete Brick Stairs
hbm:tile.brick_ducrete_stairs, Ducrete Brick Stairs
hbm:tile.reinforced_stone_stairs, Dense Stone Stairs
hbm:tile.reinforced_brick_stairs, Reinforced Stone Stairs
hbm:tile.brick_obsidian_stairs, Obsidian Brick Stairs
hbm:tile.brick_light_stairs, Light Bricks Stairs
hbm:tile.brick_compound_stairs, Compound Mesh Stairs
hbm:tile.brick_asbestos_stairs, Asbestos Brick Stairs
hbm:tile.brick_fire_stairs, Firebrick Stairs
hbm:tile.ducrete_stairs, Ducrete Tile Stairs
hbm:tile.cmb_brick, CMB Steel Tile
hbm:tile.cmb_brick_reinforced, Reinforced CMB Bricks
hbm:tile.vinyl_tile:0, Large Vinyl Tile
hbm:tile.vinyl_tile:1, Small Vinyl Tiles
hbm:tile.tile_lab, Laboratory Tiles
hbm:tile.tile_lab_cracked, Cracked Laboratory Tiles
hbm:tile.tile_lab_broken, Broken Laboratory Tiles
hbm:tile.barbed_wire, Barbed Wire
hbm:tile.barbed_wire_fire, Flaming Barbed Wire
hbm:tile.barbed_wire_poison, Poisoned Barbed Wire
hbm:tile.barbed_wire_acid, Caustic Barbed Wire
hbm:tile.barbed_wire_wither, Withered Barbed Wire
hbm:tile.barbed_wire_ultradeath, Cloud Barbed Wire
hbm:tile.spikes, Spikes
hbm:tile.tesla, Tesla Coil
hbm:tile.charger, Charging Station
hbm:tile.siege_shield, tile.siege_shield.name
hbm:tile.siege_internal, tile.siege_internal.name
hbm:tile.siege_circuit, tile.siege_circuit.name
hbm:tile.siege_emergency, tile.siege_emergency.name
hbm:tile.siege_hole, tile.siege_hole.name
hbm:tile.block_meteor, Meteorite Block
hbm:tile.block_meteor_cobble, Meteorite Cobblestone
hbm:tile.block_meteor_broken, Broken Meteorite Block
hbm:tile.block_meteor_molten, Hot Meteorite Cobblestone
hbm:tile.block_meteor_treasure, Meteorite Treasure Block
hbm:tile.meteor_polished, Polished Meteor Block
hbm:tile.meteor_brick, Meteor Bricks
hbm:tile.meteor_brick_mossy, Mossy Meteor Bricks
hbm:tile.meteor_brick_cracked, Cracked Meteor Bricks
hbm:tile.meteor_brick_chiseled, Chiseled Meteor Bricks
hbm:tile.meteor_pillar, Meteor Pillar
hbm:tile.meteor_spawner, Cyber Crab Assembler
hbm:tile.meteor_battery, Starmetal Static Electricity Generator
hbm:tile.brick_jungle, Enargite Bricks
hbm:tile.brick_jungle_cracked, Cracked Enargite Bricks
hbm:tile.brick_jungle_fragile, Brittle Enargite Bricks
hbm:tile.brick_jungle_lava, Magmatic Enargite Bricks
hbm:tile.brick_jungle_ooze, Radioactive Enargite Bricks
hbm:tile.brick_jungle_mystic, Arcane Enargite Bricks
hbm:tile.brick_jungle_trap:0, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:1, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:2, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:3, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:4, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:5, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:6, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:7, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:8, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:9, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:10, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:11, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:12, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:13, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:14, Trapped Enargite Bricks
hbm:tile.brick_jungle_glyph:0, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:1, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:2, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:3, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:4, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:5, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:6, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:7, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:8, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:9, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:10, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:11, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:12, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:13, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:14, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:15, Enargite Glyph Bricks
hbm:tile.brick_jungle_circle, Mechanist's Circle
hbm:tile.brick_dungeon, Berzelianite Bricks
hbm:tile.brick_dungeon_flat, Berzelianite Block
hbm:tile.brick_dungeon_tile, Berzelianite Tile
hbm:tile.brick_dungeon_circle, Berzelianite Cirlce
hbm:tile.brick_forgotten, tile.brick_forgotten.name
hbm:tile.deco_computer:0, IBM Personal Computer 300PL
hbm:tile.filing_cabinet:0, Dusty Filing Cabinet
hbm:tile.filing_cabinet:1, Steel Filing Cabinet
hbm:tile.tape_recorder, Tape Recorder
hbm:tile.steel_poles, Steel Pole
hbm:tile.pole_top, Antenna Top
hbm:tile.pole_satellite_receiver, Satellite Dish
hbm:tile.steel_wall, Steel Wall
hbm:tile.steel_corner, Steel Wall Corner
hbm:tile.steel_roof, Flat Steel Roof
hbm:tile.steel_beam, Steel Beam
hbm:tile.steel_scaffold:0, Steel Scaffold
hbm:tile.steel_scaffold:1, Steel Scaffold
hbm:tile.steel_scaffold:2, Steel Scaffold
hbm:tile.steel_scaffold:3, Steel Scaffold
hbm:tile.steel_grate, Steel Grate
hbm:tile.steel_grate_wide, Item Grate
hbm:tile.deco_pipe, Steel Pipe
hbm:tile.deco_pipe_rusted, Rusty Steel Pipe
hbm:tile.deco_pipe_green, Green Steel Pipe
hbm:tile.deco_pipe_green_rusted, Rusty Green Steel Pipe
hbm:tile.deco_pipe_red, Red Steel Pipe
hbm:tile.deco_pipe_marked, Gas Pipe
hbm:tile.deco_pipe_rim, Steel Pipe (Rimmed)
hbm:tile.deco_pipe_rim_rusted, Rusty Steel Pipe (Rimmed)
hbm:tile.deco_pipe_rim_green, Green Steel Pipe (Rimmed)
hbm:tile.deco_pipe_rim_green_rusted, Rusty Green Steel Pipe (Rimmed)
hbm:tile.deco_pipe_rim_red, Red Steel Pipe (Rimmed)
hbm:tile.deco_pipe_rim_marked, Gas Pipe (Rimmed)
hbm:tile.deco_pipe_framed, Steel Pipe (Framed)
hbm:tile.deco_pipe_framed_rusted, Rusty Steel Pipe (Framed)
hbm:tile.deco_pipe_framed_green, Green Steel Pipe (Framed)
hbm:tile.deco_pipe_framed_green_rusted, Rusty Green Steel Pipe (Framed)
hbm:tile.deco_pipe_framed_red, Red Steel Pipe (Framed)
hbm:tile.deco_pipe_framed_marked, Gas Pipe (Framed)
hbm:tile.deco_pipe_quad, Steel Pipes
hbm:tile.deco_pipe_quad_rusted, Rusty Steel Pipes
hbm:tile.deco_pipe_quad_green, Green Steel Pipes
hbm:tile.deco_pipe_quad_green_rusted, Rusty Green Steel Pipes
hbm:tile.deco_pipe_quad_red, Red Steel Pipes
hbm:tile.deco_pipe_quad_marked, Gas Pipes
hbm:tile.plant_flower:0, Foxglove
hbm:tile.plant_flower:1, Tobacco Plant
hbm:tile.plant_flower:2, Deadly Nightshade
hbm:tile.plant_flower:3, Hemp
hbm:tile.plant_flower:4, Mustard Willow
hbm:tile.plant_flower:5, Mustard Willow
hbm:tile.plant_tall:0, Hemp
hbm:tile.plant_tall:1, Mustard Willow
hbm:tile.plant_tall:2, Mustard Willow
hbm:tile.plant_tall:3, Mustard Willow (Mature)
hbm:tile.plant_dead:0, Dead Plant
hbm:tile.plant_dead:1, Dead Plant
hbm:tile.plant_dead:2, Dead Plant
hbm:tile.plant_dead:3, Dead Plant
hbm:tile.plant_dead:4, Dead Plant
hbm:tile.plant_reeds, Reeds
hbm:tile.mush, Glowing Mushroom
hbm:tile.mush_block, tile.mush_block.name
hbm:tile.mush_block_stem, tile.mush_block_stem.name
hbm:tile.glyphid_base, Glyphid Hive Block
hbm:tile.glyphid_spawner, Glyphid Hive Spawner
hbm:tile.moon_turf, Moon Turf
hbm:tile.waste_earth, Dead Grass
hbm:tile.waste_mycelium, Glowing Mycelium
hbm:tile.waste_trinitite, Trinitite Ore
hbm:tile.waste_trinitite_red, Red Trinitite Ore
hbm:tile.waste_log, Charred Log
hbm:tile.waste_leaves, Dead Leaves
hbm:tile.waste_planks, Charred Wooden Planks
hbm:tile.frozen_grass, Frozen Grass
hbm:tile.frozen_dirt, Frozen Dirt
hbm:tile.frozen_log, Frozen Log
hbm:tile.frozen_planks, Frozen Planks
hbm:tile.dirt_dead, Dead Dirt
hbm:tile.dirt_oily, Oily Dirt
hbm:tile.sand_dirty, Oily Sand
hbm:tile.sand_dirty_red, Red Oily Sand
hbm:tile.stone_cracked, Cracked Stone
hbm:tile.fallout, Fallout
hbm:tile.foam_layer, Foam layer
hbm:tile.sand_boron_layer, Boron Sand Layer
hbm:tile.leaves_layer, Fallen Leaves
hbm:tile.burning_earth, Burning Grass
hbm:tile.tektite, Tektite
hbm:tile.ore_tektite_osmiridium, Osmiridium-Infused Tektite
hbm:tile.impact_dirt, Scorched Dirt
hbm:tile.sellafield_slaked, Slaked Sellafite
hbm:tile.sellafield:0, Sellafite
hbm:tile.sellafield:1, Hot Sellafite
hbm:tile.sellafield:2, Boiling Sellafite
hbm:tile.sellafield:3, Blazing Sellafite
hbm:tile.sellafield:4, Infernal Sellafite
hbm:tile.sellafield:5, Sellafite-Corium
hbm:tile.geysir_water, tile.geysir_water.name
hbm:tile.geysir_chlorine, tile.geysir_chlorine.name
hbm:tile.geysir_vapor, tile.geysir_vapor.name
hbm:tile.geysir_nether, tile.geysir_nether.name
hbm:tile.nuke_gadget, The Gadget
hbm:tile.nuke_boy, Little Boy
hbm:tile.nuke_man, Fat Man
hbm:tile.nuke_mike, Ivy Mike
hbm:tile.nuke_tsar, Tsar Bomba
hbm:tile.nuke_prototype, The Prototype
hbm:tile.nuke_fleija, F.L.E.I.J.A.
hbm:tile.nuke_solinium, The Blue Rinse
hbm:tile.nuke_n2, N² Mine
hbm:tile.nuke_n45, N45 Naval Mine
hbm:tile.nuke_fstbmb, Balefire Bomb
hbm:tile.nuke_custom, Custom Nuke
hbm:tile.bomb_multi, Multi Purpose Bomb
hbm:tile.crashed_bomb, Dud
hbm:tile.fireworks, Firework Battery
hbm:tile.dynamite, Dynamite
hbm:tile.tnt_ntm, Actual TNT
hbm:tile.semtex, Semtex
hbm:tile.c4, C-4
hbm:tile.fissure_bomb, Fissure Bomb
hbm:tile.turret_chekhov, Heavy Machine Gun Turret "Chekhov's Gun"
hbm:tile.turret_friendly, Chaingun Turret "Mister Friendly"
hbm:tile.turret_jeremy, Autocannon Turret "Jeremy"
hbm:tile.turret_tauon, XVL1456 Prototype Turret "Tauon"
hbm:tile.turret_richard, Rocket Launcher Turret "Richard"
hbm:tile.turret_howard, Goalkeeper Twin Chaingun CIWS "Howard"
hbm:tile.turret_howard_damaged, Goalkeeper Twin Chaingun CIWS "Methusalem"
hbm:tile.turret_maxwell, High-Energy MASER Turret "Maxwell"
hbm:tile.turret_fritz, Heavy Flamethrower Turret "Fritz"
hbm:tile.turret_brandon, tile.turret_brandon.name
hbm:tile.turret_arty, Artillery Turret "Greg"
hbm:tile.turret_himars, Rocket Artillery Turret "Henry"
hbm:tile.turret_sentry, Sentry Turret "Brown"
hbm:tile.charge_dynamite, Time Bomb
hbm:tile.charge_miner, Timed Mining Charge
hbm:tile.charge_c4, Demolition Charge
hbm:tile.charge_semtex, Semtex Mining Charge
hbm:tile.mine_ap, Anti-Personell Mine
hbm:tile.mine_he, Anti-Tank Mine
hbm:tile.mine_shrap, Shrapnel Mine
hbm:tile.mine_fat, Fat Mine
hbm:tile.flame_war, Flame War in a Box
hbm:tile.float_bomb, Levitation Bomb
hbm:tile.therm_endo, Endothermic Bomb
hbm:tile.therm_exo, Exothermic Bomb
hbm:tile.emp_bomb, EMP Device
hbm:tile.det_cord, Det Cord
hbm:tile.det_charge, Explosive Charge
hbm:tile.det_nuke, Nuclear Charge
hbm:tile.det_miner, Mining Charge
hbm:tile.red_barrel, Explosive Barrel
hbm:tile.pink_barrel, Kerosene Barrel
hbm:tile.lox_barrel, LOX Barrel
hbm:tile.taint_barrel, IMP Residue Barrel
hbm:tile.yellow_barrel, Radioactive Barrel
hbm:tile.vitrified_barrel, Vitrified Nuclear Waste Drum
hbm:tile.machine_siren, Siren
hbm:tile.broadcaster_pc, Corrupted Broadcaster
hbm:tile.geiger, Geiger Counter
hbm:tile.hev_battery, Suit Battery
hbm:tile.fence_metal, Chainlink Fence
hbm:tile.ash_digamma, Ash
hbm:tile.sand_boron, Boron Sand
hbm:tile.sand_lead, Lead Sand
hbm:tile.sand_uranium, Uranium Sand
hbm:tile.sand_polonium, Polonium Sand
hbm:tile.sand_quartz, Quartz Sand
hbm:tile.sand_gold, Gold Sand
hbm:tile.sand_gold198, Gold-198 Sand
hbm:tile.glass_boron, Boron Glass
hbm:tile.glass_lead, Lead Glass
hbm:tile.glass_uranium, Uranium Glass
hbm:tile.glass_trinitite, Trinity Glass
hbm:tile.glass_polonium, Polonium Glass
hbm:tile.glass_ash, Ash Glass
hbm:tile.glass_quartz, Quartz Glass
hbm:tile.seal_frame, Silo Hatch Frame
hbm:tile.seal_controller, Silo Hatch Opener
hbm:tile.seal_hatch, Silo Hatch
hbm:tile.vault_door, Vault-Tec Blast Door
hbm:tile.blast_door, Sliding Blast Door
hbm:tile.fire_door, Fire Door
hbm:tile.transition_seal, Transition Seal
hbm:tile.sliding_blast_door, Sliding Blast Door
hbm:tile.door_metal, Metal Door
hbm:tile.door_office, Office Door
hbm:tile.door_bunker, Bunker Door
hbm:tile.crate_iron:0, Iron Crate
hbm:tile.crate_steel:0, Steel Crate
hbm:tile.crate_desh:0, Desh Crate
hbm:tile.crate_tungsten:0, Tungsten Crate
hbm:tile.safe:0, Safe
hbm:tile.mass_storage:3, Mass Storage Unit
hbm:tile.mass_storage:0, Mass Storage Unit
hbm:tile.mass_storage:1, Mass Storage Unit
hbm:tile.mass_storage:2, Mass Storage Unit
hbm:tile.boxcar, Boxcar
hbm:tile.boat, Boat
hbm:tile.bomber, Crashed Bomber
hbm:tile.machine_autocrafter, Automatic Crafting Table
hbm:tile.anvil_iron, Iron Anvil
hbm:tile.anvil_lead, Lead Anvil
hbm:tile.anvil_steel, Steel Anvil
hbm:tile.anvil_meteorite, Meteorite Anvil
hbm:tile.anvil_starmetal, Starmetal Anvil
hbm:tile.anvil_ferrouranium, Ferrouranium Anvil
hbm:tile.anvil_bismuth, Bismuth Anvil
hbm:tile.anvil_schrabidate, Ferric Schrabidate Anvil
hbm:tile.anvil_dnt, Dineutronium Anvil
hbm:tile.anvil_osmiridium, Osmiridium Anvil
hbm:tile.anvil_murky, Murky Anvil
hbm:tile.press_preheater, Burner Press Preheater
hbm:tile.machine_press, Burner Press
hbm:tile.machine_epress, Electric Press
hbm:tile.heater_firebox, Firebox
hbm:tile.heater_oven, Heating Oven
hbm:tile.heater_oilburner, Fluid Burner
hbm:tile.heater_electric, Electric Heater
hbm:tile.heater_heatex, Heat Exchanging Heater
hbm:tile.furnace_iron, Iron Furnace
hbm:tile.furnace_steel, Steel Furnace
hbm:tile.furnace_combination, Combination Oven
hbm:tile.machine_stirling:0, Stirling Engine
hbm:tile.machine_stirling_steel:0, Heavy Stirling Engine
hbm:tile.machine_sawmill, Stirling Sawmill
hbm:tile.machine_crucible, Crucible
hbm:tile.machine_boiler:0, Boiler
hbm:tile.foundry_mold, Shallow Foundry Basin
hbm:tile.foundry_basin, Foundry Basin
hbm:tile.foundry_channel, Foundry Channel
hbm:tile.foundry_tank, Foundry Storage Basin
hbm:tile.foundry_outlet, Foundry Outlet
hbm:tile.foundry_slagtap, Foundry Slag Outlet
hbm:tile.slag, tile.slag.name
hbm:tile.machine_difurnace_off, Blast Furnace
hbm:tile.machine_difurnace_on, Blast Furnace
hbm:tile.machine_difurnace_extension, Blast Furnace Extension
hbm:tile.machine_difurnace_rtg_off, Nuclear Blast Furnace
hbm:tile.machine_difurnace_rtg_on, Nuclear Blast Furnace
hbm:tile.machine_centrifuge, Centrifuge
hbm:tile.machine_gascent, Gas Centrifuge
hbm:tile.machine_fel, FEL
hbm:tile.machine_silex, Laser Isotope Separation Chamber (SILEX)
hbm:tile.machine_crystallizer, Ore Acidizer
hbm:tile.machine_uf6_tank, Uranium Hexafluoride Tank
hbm:tile.machine_puf6_tank, Plutonium Hexafluoride Tank
hbm:tile.machine_reactor, Breeding Reactor
hbm:tile.machine_nuke_furnace_off, Nuclear Furnace
hbm:tile.machine_nuke_furnace_on, Nuclear Furnace
hbm:tile.machine_rtg_furnace_off, RTG Furnace
hbm:tile.machine_rtg_furnace_on, RTG Furnace
hbm:tile.machine_coal_off, Combustion Generator
hbm:tile.machine_coal_on, Combustion Generator
hbm:tile.machine_diesel, Diesel Generator
hbm:tile.machine_selenium, Radial Performance Engine
hbm:tile.machine_combustion_engine, Industrial Combustion Engine
hbm:tile.machine_generator, Nuclear Reactor (Old)
hbm:tile.machine_controller, Reactor Remote Control Block
hbm:tile.machine_reactor_small, Research Reactor
hbm:tile.machine_zirnox, ZIRNOX Nuclear Reactor
hbm:tile.zirnox_destroyed, Destroyed ZINROX
hbm:tile.machine_industrial_generator, Industrial Generator
hbm:tile.machine_radgen, Radiation-Powered Engine
hbm:tile.machine_cyclotron, Cyclotron
hbm:tile.machine_rtg_grey, RT Generator
hbm:tile.machine_geo, Geothermal Electric Generator
hbm:tile.machine_amgen, Ambience Radiation Generator
hbm:tile.machine_minirtg, Radio Isotope Cell
hbm:tile.machine_powerrtg, PT Isotope Cell
hbm:tile.machine_radiolysis, Radioisotope Thermoelectric Generator and Radiolysis Chamber
hbm:tile.machine_hephaestus, Geothermal Heat Exchanger
hbm:tile.machine_spp_bottom, ZPE Potential Generator (Bottom)
hbm:tile.machine_spp_top, ZPE Potential Generator (Top)
hbm:tile.hadron_plating, Particle Accelerator Plating
hbm:tile.hadron_plating_blue, Particle Accelerator Plating (Blue)
hbm:tile.hadron_plating_black, Particle Accelerator Plating (Black)
hbm:tile.hadron_plating_yellow, Particle Accelerator Plating (YelloDye)
hbm:tile.hadron_plating_striped, Particle Accelerator Plating (Cool Hazard Stripes)
hbm:tile.hadron_plating_glass, Particle Accelerator Plating (Window)
hbm:tile.hadron_plating_voltz, Particle Accelerator Plating (VOLTZ)
hbm:tile.hadron_coil_alloy, Dense Superconducting Coil
hbm:tile.hadron_coil_gold, Dense Gold Coil
hbm:tile.hadron_coil_neodymium, Dense Neodymium Coil
hbm:tile.hadron_coil_magtung, Dense 4000K Superconductor Coil
hbm:tile.hadron_coil_schrabidium, Dense Schrabidic Coil
hbm:tile.hadron_coil_schrabidate, Dense Schrabidate Coil
hbm:tile.hadron_coil_starmetal, Dense Starmetal Coil
hbm:tile.hadron_coil_chlorophyte, Dense Chlorophyte Coil
hbm:tile.hadron_coil_mese, Dense Mese Coil
hbm:tile.hadron_power, Particle Accelerator Power Plug (1MHE)
hbm:tile.hadron_power_10m, Particle Accelerator Power Plug (10MHE)
hbm:tile.hadron_power_100m, Particle Accelerator Power Plug (100MHE)
hbm:tile.hadron_power_1g, Particle Accelerator Power Plug (1GHE)
hbm:tile.hadron_power_10g, Particle Accelerator Power Plug (10GHE)
hbm:tile.hadron_diode, Schottky Particle Diode
hbm:tile.hadron_analysis, Particle Accelerator Analysis Chamber Wall
hbm:tile.hadron_analysis_glass, Particle Accelerator Analysis Chamber Window
hbm:tile.hadron_access, Particle Accelerator Access Terminal
hbm:tile.hadron_core, Particle Accelerator Core Component
hbm:tile.rbmk_rod, RBMK Fuel Rod
hbm:tile.rbmk_rod_mod, RBMK Moderated Fuel Rod
hbm:tile.rbmk_rod_reasim, RBMK Fuel Rod (ReaSim)
hbm:tile.rbmk_rod_reasim_mod, RBMK Moderated Fuel Rod (ReaSim)
hbm:tile.rbmk_control, RBMK Control Rods
hbm:tile.rbmk_control_mod, RBMK Moderated Control Rods
hbm:tile.rbmk_control_auto, RBMK Automatic Control Rods
hbm:tile.rbmk_blank, RBMK Structural Column
hbm:tile.rbmk_boiler, RBMK Steam Channel
hbm:tile.rbmk_reflector, RBMK Tungsten Carbide Neutron Reflector
hbm:tile.rbmk_absorber, RBMK Boron Neutron Absorber
hbm:tile.rbmk_moderator, RBMK Graphite Moderator
hbm:tile.rbmk_outgasser, RBMK Irradiation Channel
hbm:tile.rbmk_storage, RBMK Storage Column
hbm:tile.rbmk_cooler, RBMK Cooler
hbm:tile.rbmk_heater, RBMK Fluid Heater
hbm:tile.rbmk_console, RBMK Console
hbm:tile.rbmk_crane_console, RBMK Crane Console
hbm:tile.rbmk_loader, RBMK Steam Connector
hbm:tile.rbmk_steam_inlet, RBMK ReaSim Water Inlet
hbm:tile.rbmk_steam_outlet, RBMK ReaSim Steam Outlet
hbm:tile.rbmk_heatex, RBMK Heat Exchanger
hbm:tile.pribris, RBMK Debris
hbm:tile.pribris_burning, Flaming RBMK Debris
hbm:tile.pribris_radiating, Smoldering RBMK Debris
hbm:tile.pribris_digamma, Blackened RBMK Debris
hbm:tile.red_cable, Red Copper Cable
hbm:tile.red_cable_classic, Red Copper Cable (Classic)
hbm:tile.red_cable_paintable, Paintable Red Copper Cable
hbm:tile.red_wire_coated, Coated Red Copper Cable
hbm:tile.red_connector, Electricity Connector
hbm:tile.red_pylon, Electricity Pole
hbm:tile.red_pylon_large, Large Electricity Pylon
hbm:tile.substation, Substation
hbm:tile.cable_switch, Power Switch
hbm:tile.cable_detector, Redstone Power Switch
hbm:tile.cable_diode, Red Copper Diode
hbm:tile.machine_detector, Power Detector
hbm:tile.fluid_duct, Universal Fluid Duct (Deprecated)
hbm:tile.fluid_duct_neo:0, Universal Fluid Duct
hbm:tile.fluid_duct_neo:1, Universal Fluid Duct
hbm:tile.fluid_duct_neo:2, Universal Fluid Duct
hbm:tile.fluid_duct_box:0, Universal Fluid Duct (Boxduct)
hbm:tile.fluid_duct_box:1, Universal Fluid Duct (Boxduct)
hbm:tile.fluid_duct_box:2, Universal Fluid Duct (Boxduct)
hbm:tile.fluid_duct_box:3, Universal Fluid Duct (Boxduct)
hbm:tile.fluid_duct_box:4, Universal Fluid Duct (Boxduct)
hbm:tile.fluid_duct_box:5, Universal Fluid Duct (Boxduct)
hbm:tile.fluid_duct_box:6, Universal Fluid Duct (Boxduct)
hbm:tile.fluid_duct_box:7, Universal Fluid Duct (Boxduct)
hbm:tile.fluid_duct_box:8, Universal Fluid Duct (Boxduct)
hbm:tile.fluid_duct_box:9, Universal Fluid Duct (Boxduct)
hbm:tile.fluid_duct_box:10, Universal Fluid Duct (Boxduct)
hbm:tile.fluid_duct_box:11, Universal Fluid Duct (Boxduct)
hbm:tile.fluid_duct_box:12, Universal Fluid Duct (Boxduct)
hbm:tile.fluid_duct_box:13, Universal Fluid Duct (Boxduct)
hbm:tile.fluid_duct_box:14, Universal Fluid Duct (Boxduct)
hbm:tile.fluid_duct_exhaust:0, Exhaust Pipe
hbm:tile.fluid_duct_exhaust:3, Exhaust Pipe
hbm:tile.fluid_duct_exhaust:6, Exhaust Pipe
hbm:tile.fluid_duct_exhaust:9, Exhaust Pipe
hbm:tile.fluid_duct_exhaust:12, Exhaust Pipe
hbm:tile.fluid_duct_paintable, Paintable Coated Universal Fluid Duct
hbm:tile.fluid_duct_gauge, Flow Gauge Pipe
hbm:tile.fluid_duct_solid, Coated Universal Fluid Duct (Deprecated)
hbm:tile.fluid_valve, Fluid Valve
hbm:tile.fluid_switch, Redstone Fluid Valve
hbm:tile.radio_torch_sender, Redstone-over-Radio Transmitter
hbm:tile.radio_torch_receiver, Redstone-over-Radio Receiver
hbm:tile.crane_extractor, Conveyor Ejector
hbm:tile.crane_inserter, Conveyor Inserter
hbm:tile.crane_grabber, Conveyor Grabber
hbm:tile.crane_router, Conveyor Sorter
hbm:tile.crane_boxer, Conveyor Boxer
hbm:tile.crane_unboxer, Conveyor Unboxer
hbm:tile.conveyor, Conveyor Belt
hbm:tile.conveyor_double, Double-Lane Conveyor Belt
hbm:tile.conveyor_triple, Triple-Lane Conveyor Belt
hbm:tile.conveyor_chute, Conveyor Chute
hbm:tile.conveyor_lift, Conveyor Chain Lift
hbm:tile.crane_splitter, Conveyor Splitter
hbm:tile.fan, Fan
hbm:tile.piston_inserter, Inserter
hbm:tile.dungeon_chain, Metal Chain
hbm:tile.ladder_sturdy, Sturdy Wooden Ladder
hbm:tile.ladder_iron, Iron Ladder
hbm:tile.ladder_gold, Golden Ladder
hbm:tile.ladder_titanium, Titanium Ladder
hbm:tile.ladder_copper, Copper Ladder
